time,year,FIN,SWE,NOR,DEN,BAL
04.01.2018 06:00 - 04.01.2018 07:00,2018,11088,18192,18901,4140,3737
04.01.2018 07:00 - 04.01.2018 08:00,2018,11392,20388,20513,4799,4153
04.01.2018 08:00 - 04.01.2018 09:00,2018,11430,20864,20985,5066,4238
04.01.2018 09:00 - 04.01.2018 10:00,2018,11314,20568,20888,5016,4239
04.01.2018 10:00 - 04.01.2018 11:00,2018,11351,21098,20631,5045,4244
04.01.2018 11:00 - 04.01.2018 12:00,2018,11398,21118,20507,5003,4149
04.01.2018 12:00 - 04.01.2018 13:00,2018,11351,21528,20554,4922,4197
04.01.2018 13:00 - 04.01.2018 14:00,2018,11439,21410,20591,4978,4160
04.01.2018 14:00 - 04.01.2018 15:00,2018,11618,21313,20675,4936,4190
04.01.2018 15:00 - 04.01.2018 16:00,2018,11702,21881,20870,4903,4333
04.01.2018 16:00 - 04.01.2018 17:00,2018,11680,21900,21002,5153,4345
04.01.2018 17:00 - 04.01.2018 18:00,2018,11570,22056,20730,5545,4264
04.01.2018 18:00 - 04.01.2018 19:00,2018,11569,21441,20503,5315,4137
04.01.2018 19:00 - 04.01.2018 20:00,2018,11470,21001,20131,4948,4029
04.01.2018 20:00 - 04.01.2018 21:00,2018,10972,20313,19733,4597,3826
04.01.2018 21:00 - 04.01.2018 22:00,2018,11071,19375,19362,4303,3456
04.01.2018 22:00 - 04.01.2018 23:00,2018,10818,18614,18783,3953,3130
04.01.2018 23:00 - 05.01.2018 00:00,2018,10325,17505,17759,3627,2859
05.01.2018 00:00 - 05.01.2018 01:00,2018,9997,16816,17169,3420,2528
05.01.2018 01:00 - 05.01.2018 02:00,2018,9778,16439,16942,3303,2611
05.01.2018 02:00 - 05.01.2018 03:00,2018,9671,16310,16774,3249,2709
05.01.2018 03:00 - 05.01.2018 04:00,2018,9680,16276,16854,3226,2740
05.01.2018 04:00 - 05.01.2018 05:00,2018,9975,16478,16999,3306,2872
05.01.2018 05:00 - 05.01.2018 06:00,2018,10707,16810,17307,3550,3296
05.01.2018 06:00 - 05.01.2018 07:00,2018,11166,18070,18917,4204,3800
05.01.2018 07:00 - 05.01.2018 08:00,2018,11543,19825,20476,4836,4181
05.01.2018 08:00 - 05.01.2018 09:00,2018,11577,20508,21138,5109,4328
05.01.2018 09:00 - 05.01.2018 10:00,2018,11447,20682,21107,5117,4328
05.01.2018 10:00 - 05.01.2018 11:00,2018,11434,21172,21171,5174,4331
05.01.2018 11:00 - 05.01.2018 12:00,2018,11328,21095,20864,5124,4236
05.01.2018 12:00 - 05.01.2018 13:00,2018,11353,21049,20704,4980,4264
05.01.2018 13:00 - 05.01.2018 14:00,2018,11370,20824,20752,4877,4173
05.01.2018 14:00 - 05.01.2018 15:00,2018,11525,20684,20781,4724,4182
05.01.2018 15:00 - 05.01.2018 16:00,2018,11641,21183,20999,4635,4254
05.01.2018 16:00 - 05.01.2018 17:00,2018,11587,21502,21247,4885,4317
05.01.2018 17:00 - 05.01.2018 18:00,2018,11599,21495,21112,5230,4206
05.01.2018 18:00 - 05.01.2018 19:00,2018,11559,21050,20951,5034,4087
05.01.2018 19:00 - 05.01.2018 20:00,2018,11231,20281,20688,4671,3973
05.01.2018 20:00 - 05.01.2018 21:00,2018,10759,19368,20304,4357,3790
05.01.2018 21:00 - 05.01.2018 22:00,2018,10820,18755,19739,4081,3487
05.01.2018 22:00 - 05.01.2018 23:00,2018,10587,17890,19235,3819,3216
05.01.2018 23:00 - 06.01.2018 00:00,2018,10070,17286,18651,3580,2981
06.01.2018 00:00 - 06.01.2018 01:00,2018,9751,16476,18150,3359,2783
06.01.2018 01:00 - 06.01.2018 02:00,2018,9464,16211,17801,3199,2711
06.01.2018 02:00 - 06.01.2018 03:00,2018,9351,16066,17552,3131,2687
