time,year,FIN,SWE,NOR,DEN,BAL
06.01.2018 08:00 - 06.01.2018 09:00,2018,0.471322732,0.462299072,0.476638008,0.154674163,0.447382902
06.01.2018 09:00 - 06.01.2018 10:00,2018,0.466008176,0.474923474,0.528782653,0.182419601,0.45863815
06.01.2018 10:00 - 06.01.2018 11:00,2018,0.444258365,0.529151907,0.575826508,0.21213138,0.436856258
06.01.2018 11:00 - 06.01.2018 12:00,2018,0.462045726,0.524878975,0.584202871,0.224746647,0.431241274
06.01.2018 12:00 - 06.01.2018 13:00,2018,0.497914093,0.527023157,0.586726569,0.240687717,0.420332855
06.01.2018 13:00 - 06.01.2018 14:00,2018,0.538705317,0.54091164,0.599615717,0.279096286,0.425121709
06.01.2018 14:00 - 06.01.2018 15:00,2018,0.565010557,0.566019698,0.616815026,0.323845606,0.424225021
06.01.2018 15:00 - 06.01.2018 16:00,2018,0.58341345,0.60485855,0.625094032,0.396616897,0.424846415
06.01.2018 16:00 - 06.01.2018 17:00,2018,0.607700915,0.637685113,0.606078804,0.454833557,0.420172701
06.01.2018 17:00 - 06.01.2018 18:00,2018,0.633510611,0.662707518,0.606480337,0.493457539,0.419138186
06.01.2018 18:00 - 06.01.2018 19:00,2018,0.667193376,0.679705941,0.601414685,0.511158965,0.424896192
06.01.2018 19:00 - 06.01.2018 20:00,2018,0.701922468,0.690964455,0.588279914,0.498200427,0.430044769
06.01.2018 20:00 - 06.01.2018 21:00,2018,0.733673625,0.702795903,0.581199198,0.461444741,0.453376256
06.01.2018 21:00 - 06.01.2018 22:00,2018,0.759172075,0.699778151,0.574660487,0.407901102,0.485648312
06.01.2018 22:00 - 06.01.2018 23:00,2018,0.757899745,0.671048042,0.580032233,0.334262424,0.481978389
06.01.2018 23:00 - 07.01.2018 00:00,2018,0.786356239,0.667100521,0.598855928,0.276817684,0.524170845
07.01.2018 00:00 - 07.01.2018 01:00,2018,0.805669376,0.663871623,0.573547214,0.226937082,0.551671962
07.01.2018 01:00 - 07.01.2018 02:00,2018,0.80230012,0.650995565,0.487000105,0.192916104,0.566658568
07.01.2018 02:00 - 07.01.2018 03:00,2018,0.812177671,0.6355746,0.388952359,0.158497789,0.592062601
07.01.2018 03:00 - 07.01.2018 04:00,2018,0.820261311,0.6113414,0.382582444,0.11768559,0.606107404
07.01.2018 04:00 - 07.01.2018 05:00,2018,0.833168554,0.594344102,0.444701324,0.091953811,0.588117522
07.01.2018 05:00 - 07.01.2018 06:00,2018,0.835881332,0.574422208,0.558837398,0.082942318,0.579222933
07.01.2018 06:00 - 07.01.2018 07:00,2018,0.829615472,0.551268362,0.604995241,0.078493065,0.569883665
07.01.2018 07:00 - 07.01.2018 08:00,2018,0.829941467,0.541900961,0.551370051,0.080560033,0.560729772
07.01.2018 08:00 - 07.01.2018 09:00,2018,0.824024751,0.553146104,0.614487899,0.095129933,0.536303238
07.01.2018 09:00 - 07.01.2018 10:00,2018,0.81835724,0.570109284,0.735632079,0.127126245,0.514217082
07.01.2018 10:00 - 07.01.2018 11:00,2018,0.815956814,0.588217856,0.721209156,0.175492548,0.469869062
07.01.2018 11:00 - 07.01.2018 12:00,2018,0.807054852,0.603125616,0.606588856,0.215949946,0.459337963
07.01.2018 12:00 - 07.01.2018 13:00,2018,0.792635657,0.616250139,0.500047257,0.258241402,0.471206587
07.01.2018 13:00 - 07.01.2018 14:00,2018,0.776836136,0.621732496,0.540412717,0.293208478,0.487935891
07.01.2018 14:00 - 07.01.2018 15:00,2018,0.751945858,0.621595124,0.631108861,0.317471971,0.505942537
07.01.2018 15:00 - 07.01.2018 16:00,2018,0.699195494,0.621989943,0.710059037,0.339910029,0.525808679
07.01.2018 16:00 - 07.01.2018 17:00,2018,0.653778317,0.626527384,0.714008602,0.357599567,0.540022503
07.01.2018 17:00 - 07.01.2018 18:00,2018,0.62706848,0.638988554,0.722263336,0.370817964,0.551511179
07.01.2018 18:00 - 07.01.2018 19:00,2018,0.574567078,0.681347526,0.733772927,0.388128958,0.573658602
07.01.2018 19:00 - 07.01.2018 20:00,2018,0.534390971,0.725635922,0.737183544,0.396197481,0.596021674
07.01.2018 20:00 - 07.01.2018 21:00,2018,0.515741527,0.739176741,0.74141836,0.396476134,0.618602027
07.01.2018 21:00 - 07.01.2018 22:00,2018,0.514658475,0.73738784,0.741118641,0.392492547,0.633370463
07.01.2018 22:00 - 07.01.2018 23:00,2018,0.569880061,0.742282722,0.725354748,0.378709536,0.633881019
07.01.2018 23:00 - 08.01.2018 00:00,2018,0.605297998,0.722308988,0.736952227,0.376557666,0.641096534
08.01.2018 00:00 - 08.01.2018 01:00,2018,0.667108645,0.696183561,0.733571136,0.372917856,0.641664416
08.01.2018 01:00 - 08.01.2018 02:00,2018,0.715252875,0.667754967,0.71112668,0.35764343,0.641694258
08.01.2018 02:00 - 08.01.2018 03:00,2018,0.752923013,0.642638572,0.676111318,0.330122171,0.642604401
08.01.2018 03:00 - 08.01.2018 04:00,2018,0.767586626,0.618104219,0.64705283,0.300580178,0.639979569
08.01.2018 04:00 - 08.01.2018 05:00,2018,0.773774299,0.596544328,0.599117119,0.267976762,0.635669342
08.01.2018 05:00 - 08.01.2018 06:00,2018,0.784753959,0.562028872,0.552251358,0.23328377,0.626220865
08.01.2018 06:00 - 08.01.2018 07:00,2018,0.793516564,0.534339004,0.527301943,0.203874318,0.610530274
08.01.2018 07:00 - 08.01.2018 08:00,2018,0.794184775,0.511599159,0.522069388,0.17339048,0.592825287
08.01.2018 08:00 - 08.01.2018 09:00,2018,0.784798549,0.497626142,0.514504519,0.153902303,0.571385691
08.01.2018 09:00 - 08.01.2018 10:00,2018,0.773502955,0.485107699,0.508921128,0.14471097,0.540860137
08.01.2018 10:00 - 08.01.2018 11:00,2018,0.742409046,0.46071074,0.538107593,0.110864363,0.491114446
08.01.2018 11:00 - 08.01.2018 12:00,2018,0.725757821,0.471253134,0.545790098,0.100211063,0.473952454
08.01.2018 12:00 - 08.01.2018 13:00,2018,0.708111878,0.485073433,0.556064671,0.08971023,0.471386224
08.01.2018 13:00 - 08.01.2018 14:00,2018,0.690136023,0.490510569,0.583560662,0.083822116,0.428916916
